SSC_CODE_2016,P_OthServ_0,P_OthServ_1_15,P_OthServ_16_24,P_OthServ_25_34,P_OthServ_35_39,P_OthServ_40,P_OthServ_41_48,P_OthServ_49over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
SSC10001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,13
SSC10002,0,7,7,3,29,18,9,13,0,84,14,15,13,8,21,30,3,18,16,136,57,234,217,227,457,502,194,368,51,2297
SSC10003,3,18,8,9,12,19,13,21,0,108,0,14,10,6,15,20,9,17,17,111,77,242,273,220,401,570,270,576,39,2660
SSC10004,0,3,0,3,3,7,3,0,0,19,0,3,0,0,0,0,0,0,0,15,22,65,59,67,120,100,47,92,4,573
SSC10005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,0,0,0,14
SSC10006,0,5,5,3,5,5,7,12,0,45,3,4,3,0,7,8,4,0,13,45,41,106,110,125,184,146,86,121,20,943
SSC10007,0,5,6,3,11,10,3,4,0,46,0,3,0,0,7,12,0,5,3,38,32,100,85,122,171,120,100,155,20,906
SSC10008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,8,3,0,10,4,31,0,61
SSC10009,5,16,10,13,22,29,15,29,0,140,3,8,11,3,20,20,6,8,21,101,108,311,242,281,497,429,313,471,30,2695
SSC10010,3,3,3,0,14,3,3,3,0,44,0,5,3,3,11,3,0,10,14,55,41,129,120,100,192,157,81,116,27,962
SSC10011,0,0,3,3,3,0,0,4,0,15,0,0,0,0,0,3,0,0,0,3,3,11,18,16,19,21,13,20,0,121
SSC10012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,0,5
SSC10013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,3,0,6,0,16
SSC10014,4,5,14,8,20,25,3,13,0,87,0,4,12,4,14,17,8,8,14,90,56,153,178,179,546,461,210,264,31,2074
SSC10015,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,4,5,3,22,14,16,18,22,10,29,7,136
SSC10016,0,14,12,15,25,18,3,15,0,96,0,9,3,7,15,19,10,9,28,107,116,384,337,352,576,552,308,420,53,3107
SSC10017,0,15,11,11,16,23,3,19,0,90,0,11,3,5,8,17,7,9,10,69,79,322,297,291,437,466,222,371,31,2521
SSC10018,0,0,0,0,3,3,0,3,0,10,0,0,0,3,9,12,4,9,4,37,20,40,44,44,54,55,27,83,5,376
SSC10019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,6,4,6,3,17,0,42
SSC10020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,4,0,0,7,0,21
SSC10021,0,3,3,3,0,0,0,7,0,19,0,0,0,4,0,7,3,0,0,22,12,44,44,50,75,83,45,96,6,463
SSC10022,0,0,0,0,4,4,0,0,0,11,3,11,0,3,6,9,6,3,29,78,28,65,46,75,130,80,39,31,39,525
SSC10023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,5,8,0,6,0,30
SSC10024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,22,0,34
SSC10025,18,26,19,36,63,65,40,44,0,304,11,17,16,21,50,36,14,33,36,236,246,689,684,766,1289,1112,635,842,82,6347
SSC10026,4,22,12,19,23,22,18,13,0,137,5,12,4,5,24,24,16,24,29,131,100,336,322,368,595,523,248,357,55,2906
SSC10027,0,12,10,10,15,11,11,12,0,73,4,7,9,7,11,11,3,7,8,64,84,276,248,296,396,355,242,358,27,2288
SSC10028,0,0,0,0,3,0,0,3,0,15,0,0,0,0,4,3,0,0,3,17,17,38,30,55,56,43,22,42,7,311
SSC10029,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,12,11,6,5,9,12,28,0,82
SSC10030,3,9,13,16,48,35,20,21,3,162,4,10,26,19,37,50,23,44,28,239,163,256,348,385,1043,1417,787,1186,84,5670
SSC10031,0,8,10,5,16,22,0,14,0,79,3,10,4,3,15,13,6,9,14,79,42,205,186,169,332,376,152,295,32,1792
SSC10032,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,7,8,12,10,8,4,20,0,60
SSC10033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,5,0,7,6,0,7,0,39
SSC10035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,4,3,11,0,3,0,31
SSC10036,4,22,17,15,22,18,10,16,0,129,3,14,8,17,24,31,7,26,24,152,105,424,389,431,462,589,332,599,54,3385
SSC10037,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,6,3,7,4,5,4,10,0,43
SSC10038,0,12,9,10,20,16,8,9,0,95,4,19,26,14,28,21,8,16,36,168,81,267,423,284,730,609,208,269,60,2936
SSC10039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,0,0,7,0,4,0,20
SSC10040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,4,4,10,0,4,0,48
SSC10041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,3,6,13,16,12,10,0,67
SSC10042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,12,3,12,0,33
SSC10043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,8,5,7,0,6,0,31
SSC10044,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,4,0,11,10,12,10,14,10,12,0,66
SSC10045,0,3,0,0,0,0,0,0,0,6,0,3,0,3,4,0,0,3,3,15,7,26,31,30,42,30,18,30,3,223
SSC10046,5,13,12,9,17,13,3,17,0,87,4,11,7,5,13,20,0,8,19,80,83,311,273,325,430,324,138,297,36,2217
SSC10047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,4,7,4,3,14,0,40
SSC10048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,0,5,3,0,8,0,22
SSC10049,0,12,11,8,24,27,15,15,3,117,6,12,9,16,39,41,9,12,32,180,87,307,243,301,672,652,271,320,72,2925
SSC10050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,4,0,15
SSC10051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,15,0,21
SSC10053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,11
SSC10054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,3,4,13,3,35
SSC10055,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,0,0,3,8,0,3,0,11,3,30
SSC10056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,4,5,12,14,22,10,14,4,75
SSC10057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,0,5,0,22
SSC10058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,9,0,23
SSC10059,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,10,9,22,16,9,8,7,21,3,103
SSC10060,3,11,8,13,8,11,12,5,3,71,0,4,3,10,4,8,8,10,13,52,51,211,182,196,275,258,130,185,36,1525
SSC10061,3,24,13,12,23,24,18,21,0,138,0,12,13,15,20,55,14,35,33,207,169,457,487,503,736,1138,647,1157,65,5363
SSC10062,0,6,7,9,0,11,7,10,0,55,0,5,3,3,7,3,3,7,0,34,20,100,90,71,89,165,48,175,17,779
SSC10063,0,8,3,3,16,13,11,7,0,60,0,3,3,4,10,10,9,6,3,51,46,110,98,139,294,271,138,224,15,1355
SSC10064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,4,0,13
SSC10065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,5,4,3,4,3,23
SSC10066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,7
SSC10067,0,0,0,0,5,0,0,0,0,6,0,0,0,0,0,0,0,0,3,3,0,4,7,0,9,8,0,14,5,49
SSC10068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,4,0,14
SSC10069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,8,23,22,22,30,31,11,19,5,172
SSC10070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,5,4,10,3,9,0,20,5,60
SSC10071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SSC10072,0,10,5,3,3,8,0,16,0,44,0,3,5,0,3,3,3,5,4,34,10,103,98,67,75,146,52,164,10,728
SSC10073,0,3,3,0,4,3,9,7,0,29,0,0,3,0,0,8,3,3,0,20,23,92,61,72,119,93,61,83,8,613
SSC10074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,3,6,0,22
SSC10075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,13,9,12,10,14,3,22,0,94
SSC10076,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,6,5,24,18,23,10,28,5,52,4,163
SSC10077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,3,0,0,4,0,15
SSC10078,0,3,3,7,7,4,3,3,0,32,0,0,3,3,4,3,0,0,3,20,17,68,50,55,96,97,30,58,13,495
SSC10079,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,7,14,11,12,6,6,19,4,79
SSC10080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,9
SSC10081,0,3,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,10,11,25,13,23,15,27,12,65,3,187
SSC10082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,5,0,9,0,27
SSC10083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
SSC10084,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,7,7,0,4,5,4,33,0,67
SSC10085,12,43,27,27,71,38,42,47,8,318,12,22,13,19,37,36,21,32,60,240,410,1426,978,1165,2093,1344,761,1281,186,9636
SSC10086,0,22,20,16,38,32,18,25,3,176,13,17,44,24,40,50,5,23,68,280,132,419,644,477,1102,1116,415,569,129,5011
SSC10087,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,5,0,6,0,19
SSC10088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,18,15,18,18,11,4,10,3,91
SSC10089,0,3,0,3,0,0,3,0,0,12,0,0,0,0,0,0,0,0,4,7,10,32,23,45,32,33,21,30,8,234
SSC10090,3,17,14,18,23,22,13,19,3,124,5,15,20,6,31,43,8,27,26,186,147,431,470,415,881,1295,554,798,62,5058
SSC10091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,7,0,22
SSC10092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,5,0,4,0,20
SSC10093,0,8,8,5,12,14,4,18,0,64,0,3,3,9,8,12,8,3,7,51,53,176,188,183,260,364,180,239,13,1646
SSC10094,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,4,0,3,0,15,4,21,17,14,21,11,3,23,0,117
SSC10095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,5,12,12,9,5,13,10,10,0,71
SSC10096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC10097,0,13,5,0,9,5,0,3,3,36,0,17,3,7,18,15,5,3,30,102,19,106,88,91,242,161,70,73,45,893
SSC10098,5,38,38,36,81,76,20,41,5,338,12,50,85,43,101,98,35,36,115,565,296,1119,1679,1207,2617,2715,1049,1302,235,12225
SSC10099,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,3,6,9,5,33,21,30,27,23,8,46,5,205
SSC10100,0,0,3,0,0,3,0,0,0,7,0,0,0,0,0,0,4,0,0,10,4,16,11,12,25,29,24,41,8,176
SSC10101,0,4,4,3,21,18,9,8,0,62,0,6,3,8,12,13,9,4,15,66,40,153,115,181,316,227,108,130,30,1295
SSC10102,3,6,6,6,17,22,8,20,0,99,0,14,7,3,12,8,3,9,9,64,83,277,233,240,424,438,243,316,22,2275
SSC10103,6,7,4,3,5,11,6,11,0,61,3,8,3,10,13,10,5,4,3,59,54,212,182,175,311,362,149,207,20,1675
SSC10104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,3,0,3,17,0,35
SSC10105,0,0,0,0,3,0,3,0,0,9,0,0,0,0,0,0,4,3,6,21,8,20,21,37,41,61,20,51,9,278
SSC10106,3,41,68,41,104,83,43,26,7,421,13,126,197,128,247,201,90,67,374,1439,267,1476,2318,1484,3220,2729,957,1004,628,14075
SSC10107,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,5,5,3,5,7,12,6,13,14,3,64
SSC10108,0,7,0,9,8,8,3,7,0,33,0,3,0,3,4,5,0,3,4,34,48,159,154,146,180,219,132,194,13,1245
SSC10109,5,5,6,9,13,7,5,11,0,70,0,3,3,0,19,22,6,9,19,89,42,138,104,114,221,270,89,183,47,1207
SSC10110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,7,10,4,10,4,13,4,77
SSC10111,7,32,18,20,27,20,10,35,0,168,12,35,38,28,33,48,12,44,39,291,157,756,650,562,484,958,422,907,76,4977
SSC10112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,3,0,12
SSC10113,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,10,3,13,10,15,14,21,5,25,4,103
SSC10114,0,8,5,5,7,16,7,3,0,54,4,12,8,3,13,11,8,17,13,84,73,313,288,260,282,491,196,330,25,2256
SSC10115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10116,0,0,4,3,14,7,0,6,0,44,5,3,0,0,8,8,0,0,0,24,35,81,87,85,188,118,55,79,8,737
SSC10117,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,4,4,5,4,14,3,6,15,3,53
SSC10118,0,4,0,0,3,3,0,0,0,6,0,0,0,0,0,0,0,0,0,3,5,19,15,25,40,41,16,21,4,179
SSC10119,0,0,0,0,0,0,0,0,0,8,0,0,5,0,0,0,0,3,0,5,4,13,12,13,13,27,6,17,0,107
SSC10120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,0,5,13,5,9,12,4,25,0,75
SSC10121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC10122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5
SSC10123,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,0,0,3,3,3,3,3,0,21
SSC10124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,14
SSC10125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,10
SSC10126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC10127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7
SSC10128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,11
SSC10129,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,4,0,10,8,4,0,6,8,6,4,44
SSC10130,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,0,7,3,11,10,15,4,9,5,66
SSC10131,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,9
SSC10132,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,3,0,0,0,4,0,9,5,7,13,14,17,16,0,81
SSC10133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,4,3,3,10,0,27
SSC10135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,9,0,14
SSC10136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,11
SSC10137,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,12
SSC10138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,3,3,3,0,0,28
SSC10139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,3,3,0,13
SSC10140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
SSC10141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,13
SSC10142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,3,12,0,24
SSC10143,0,0,0,3,0,0,0,0,0,4,0,0,0,0,3,0,0,4,0,12,14,30,28,32,35,39,13,36,3,232
SSC10144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,7,4,4,4,7,0,17,4,57
SSC10145,0,3,3,3,4,4,3,0,0,21,0,0,0,0,0,6,0,0,4,11,15,51,37,53,70,70,36,43,7,384
SSC10146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,3,0,9,0,29
SSC10147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23,11,10,7,19,7,18,4,112
SSC10148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,4
SSC10149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC10150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,7,8,4,9,0,35
SSC10151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,5,8,0,5,6,18,0,41
SSC10152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,11,0,19
SSC10153,3,26,26,13,12,15,14,11,0,110,8,25,13,11,18,31,17,33,24,172,146,424,454,407,495,846,449,878,51,4152
SSC10154,0,12,10,9,4,6,4,3,0,44,0,4,9,12,3,14,8,13,0,68,42,230,197,153,98,266,102,423,18,1532
SSC10155,5,19,12,9,17,16,10,13,0,107,4,3,15,5,8,19,7,11,24,92,100,297,300,285,451,425,208,370,48,2474
SSC10156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,11
SSC10157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,11,12,10,4,7,4,10,0,57
SSC10158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,6
SSC10159,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,3,3,9,6,3,10,4,21,3,59
SSC10160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,8,3,0,4,0,15,0,39
SSC10161,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,4,3,14,11,5,13,16,8,25,3,92
SSC10162,4,11,10,18,22,22,12,14,0,110,8,18,17,9,17,5,0,3,37,109,95,344,360,474,661,370,186,306,62,2854
SSC10163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC10164,4,17,13,29,19,20,14,24,5,140,10,21,18,15,17,41,19,45,20,204,189,450,484,485,688,1166,767,1349,64,5634
SSC10165,0,0,3,0,3,0,3,8,0,21,0,3,3,7,4,7,3,13,4,36,28,110,85,93,110,192,108,259,10,994
SSC10166,0,0,3,0,8,4,3,0,0,17,0,4,0,0,3,0,0,0,0,10,10,36,50,27,91,66,28,55,0,359
SSC10167,0,0,0,0,3,3,0,0,0,14,0,3,3,0,0,0,0,4,3,18,3,26,27,15,45,51,22,36,3,230
SSC10168,0,0,0,4,4,4,4,3,0,14,3,8,4,0,4,0,0,5,13,32,20,59,60,78,103,84,33,106,23,565
SSC10169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,3,0,0,0,3,0,15
SSC10170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,13,9,7,3,11,3,60
SSC10172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC10173,0,0,4,0,4,3,3,4,0,20,0,3,0,0,0,0,0,3,0,4,15,49,41,35,48,50,23,73,3,331
SSC10174,0,0,3,12,3,4,0,7,0,37,3,10,3,5,8,10,4,4,5,54,44,154,121,147,116,185,67,125,20,976
SSC10175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,3,3,7,0,24
SSC10176,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,5,0,6,4,5,10,11,0,14,4,60
SSC10177,3,15,21,17,12,40,12,29,0,138,0,7,7,6,22,27,3,15,27,122,71,339,339,292,447,612,314,493,48,2957
SSC10178,0,3,11,9,14,15,3,4,0,58,4,11,5,10,21,15,0,7,10,81,54,148,198,161,375,322,129,187,31,1608
SSC10179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,7,0,15
SSC10180,11,95,88,51,113,99,39,58,11,570,25,89,85,84,214,121,39,42,221,929,273,1329,1349,1142,2854,2342,793,1003,414,11490
SSC10181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,16
SSC10183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,9,5,7,7,9,13,0,66
SSC10184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0,12
SSC10185,7,39,27,37,37,29,17,38,0,243,14,23,15,21,38,34,13,37,57,254,198,892,704,979,1215,912,456,812,108,6266
SSC10186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,5,0,8
SSC10187,0,0,4,0,10,3,0,3,0,18,0,0,0,0,3,0,0,3,8,23,17,99,69,66,101,106,69,120,17,653
SSC10188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,4,3,3,0,3,0,28
SSC10189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,7,0,12
SSC10190,0,0,0,0,0,5,0,0,0,7,4,0,0,0,3,0,0,0,9,18,6,24,26,24,37,44,13,48,11,236
SSC10191,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,3,3,6,11,16,6,28,0,78
SSC10192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10193,5,14,4,17,20,24,11,21,3,114,0,11,7,5,11,23,13,17,15,102,52,288,281,261,393,541,265,400,34,2520
SSC10194,0,0,5,0,8,4,3,0,0,21,3,5,8,3,15,9,3,3,6,51,22,38,70,68,240,209,63,80,13,820
SSC10195,0,5,3,10,12,11,0,5,0,39,4,4,6,0,10,11,0,4,9,47,22,110,120,108,251,266,95,154,17,1140
SSC10196,0,5,3,4,9,7,7,15,0,44,3,6,0,5,15,12,6,3,8,53,39,112,99,110,190,234,107,156,18,1062
SSC10197,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,3,0,7,6,13,7,16,20,16,37,51,18,49,4,222
SSC10198,3,3,8,7,15,26,14,21,0,103,3,10,7,10,20,26,5,14,29,114,82,209,190,202,391,398,199,324,44,2023
SSC10199,0,3,0,0,4,0,4,4,3,16,3,3,0,3,4,5,3,0,8,32,27,67,71,76,76,93,44,124,18,580
SSC10200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10201,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,9,4,18,3,9,3,5,0,8,3,60
SSC10202,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,15,10,17,12,28,3,39,4,133
SSC10203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10204,0,0,5,7,10,17,8,7,0,55,0,3,3,0,4,11,3,3,6,31,33,85,87,103,164,178,84,94,13,848
SSC10205,0,3,5,4,8,4,3,6,0,29,7,4,5,0,5,4,0,0,10,34,49,87,71,102,112,121,73,139,24,774
