SA2_MAINCODE_2016,Sme_Usl_ad_1_yr_ago_as_2016_M,Sme_Usl_ad_1_yr_ago_as_2016_F,Sme_Usl_ad_1_yr_ago_as_2016_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
101021007,1494,1432,2930,65,82,149,87,89,175,4,3,6,7,11,13,0,0,0,0,0,0,0,0,0,0,0,0,29,30,57,0,0,0,125,130,258,3,6,13,10,10,18,202,232,431,229,238,469,1932,1903,3835
101021008,3253,3318,6573,76,75,153,222,248,473,11,4,17,19,16,33,5,3,14,4,4,5,0,0,0,3,0,4,95,79,177,0,0,0,368,357,728,27,19,51,13,9,24,483,467,947,281,334,619,4020,4117,8135
101021009,3838,3810,7646,206,226,440,394,401,792,35,31,68,24,30,57,7,7,15,14,14,24,4,3,9,5,3,7,192,212,406,0,0,0,678,703,1376,94,94,181,11,15,25,990,1035,2023,525,484,1013,5348,5330,10681
101021010,1751,1677,3430,63,52,110,216,189,408,6,11,21,20,11,36,0,0,3,12,11,23,0,0,0,0,0,0,99,89,185,0,0,0,363,317,674,45,41,89,3,7,10,470,414,886,206,189,395,2425,2280,4704
101021011,6500,6287,12789,187,198,376,407,432,839,21,19,35,29,32,61,9,9,18,8,5,14,3,3,5,7,13,19,351,355,708,0,0,0,830,867,1700,53,36,86,10,10,27,1077,1109,2188,922,836,1756,8499,8233,16735
101021012,4987,5025,10010,177,204,379,280,293,570,38,30,72,46,50,101,18,15,30,13,14,26,4,3,4,6,11,23,189,189,385,0,0,0,599,611,1212,51,53,102,9,4,13,845,872,1713,380,375,759,6214,6273,12485
101031013,984,950,1936,58,57,121,28,31,61,14,15,23,6,8,18,3,3,4,0,0,0,0,0,0,0,5,5,7,5,3,0,0,0,55,66,119,0,0,3,4,0,4,117,123,248,94,98,196,1195,1172,2372
101031014,2438,2526,4969,188,208,398,153,172,322,12,11,20,16,12,31,0,3,3,0,3,3,0,3,4,3,3,11,15,15,35,0,0,0,202,227,427,25,16,41,6,3,9,422,459,874,504,335,837,3363,3320,6682
101031015,1363,1284,2646,15,22,34,96,85,181,5,0,9,3,3,5,0,0,0,0,11,11,0,0,0,0,0,0,15,21,39,0,0,0,126,118,244,3,7,10,0,0,3,148,144,291,162,161,326,1676,1588,3257
101031016,2658,2350,5009,276,250,525,219,189,411,24,14,37,39,31,74,3,3,8,4,0,8,0,0,0,6,3,8,19,15,36,0,0,0,318,267,579,48,42,92,4,7,11,652,562,1214,384,295,680,3692,3214,6903
101041017,2829,2999,5823,153,146,293,298,280,577,14,21,33,14,14,21,4,0,3,9,8,17,4,8,8,0,0,3,35,29,62,0,0,0,372,359,730,14,14,26,12,14,22,548,531,1078,373,347,716,3743,3876,7624
