SA2_MAINCODE_2016,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
101021007,5,0,11,12,18,12,5,0,0,69,6,11,10,17,17,23,3,3,0,93,65,71,199,301,412,392,151,41,6,1646
101021008,9,23,41,26,35,30,7,0,0,169,13,26,36,34,38,36,12,0,0,183,286,402,860,890,945,667,130,10,0,4184
101021009,8,25,77,33,28,17,4,0,0,188,11,30,67,55,43,30,6,5,0,244,201,575,1688,1224,1092,672,137,19,0,5612
101021010,10,10,23,19,13,12,0,0,0,99,0,11,16,14,30,15,3,0,0,90,102,278,748,515,546,362,78,9,0,2647
101021011,26,38,59,79,75,44,10,0,0,330,33,32,42,77,92,42,18,0,0,341,504,592,1406,1989,2413,1496,371,39,3,8814
101021012,16,33,43,59,56,31,9,0,0,247,13,22,46,30,56,39,0,3,0,204,536,600,1208,1661,2078,899,136,6,3,7125
101031013,3,3,5,7,8,4,0,0,0,31,0,3,8,3,3,9,0,0,3,36,58,71,167,173,237,239,96,15,4,1067
101031014,3,9,26,18,20,26,8,0,0,107,9,8,14,14,11,14,11,6,0,96,201,248,527,501,672,552,167,22,3,2901
101031015,5,4,11,8,17,5,3,0,0,50,3,3,0,11,16,17,5,3,0,60,86,70,165,283,424,341,150,48,3,1570
101031016,3,15,26,30,23,15,4,0,0,117,10,18,20,25,24,28,9,3,0,127,179,377,768,827,899,629,186,22,9,3899
101041017,3,16,21,19,31,22,3,0,0,122,8,7,25,23,24,20,8,5,0,116,189,176,442,477,551,557,124,18,3,2540
101041018,7,3,18,34,31,27,6,0,0,129,4,15,15,18,30,23,7,0,0,115,191,195,377,558,699,655,173,14,0,2862
101041019,7,10,22,25,19,21,6,0,0,109,8,7,5,21,20,24,8,3,4,97,226,251,541,655,855,748,169,24,6,3480
101041020,16,7,14,21,27,25,0,0,0,114,17,9,7,27,37,47,14,4,0,165,224,167,391,579,1018,1010,264,42,10,3709
101041021,0,3,7,8,13,11,0,0,0,43,3,3,5,10,9,11,0,0,0,42,81,81,160,262,316,274,46,3,0,1235
101041022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,11
101041023,8,10,10,6,3,15,0,0,0,57,0,6,3,13,26,6,3,0,0,62,63,75,176,215,272,262,75,10,3,1152
101041024,6,9,6,11,11,11,4,0,0,61,3,0,5,5,10,9,3,0,0,39,91,85,151,219,407,343,93,5,4,1398
101041025,10,12,26,20,44,27,12,0,0,149,8,14,21,19,22,31,10,3,0,121,253,284,557,731,1033,966,250,26,3,4098
101041026,8,3,16,23,18,15,3,0,0,96,13,12,11,18,31,32,13,4,0,131,194,171,386,508,719,715,151,21,5,2875
101041027,0,9,13,31,14,37,10,0,0,113,7,10,7,10,23,25,9,0,0,100,119,148,352,465,674,840,215,27,3,2841
101051539,23,55,94,86,57,55,23,3,0,397,26,33,78,60,73,63,12,9,0,363,640,909,2031,1935,2125,1646,371,48,4,9708
101051540,16,22,45,37,43,36,11,3,3,212,14,19,34,27,43,46,20,7,3,211,308,345,767,1049,1432,1188,487,116,19,5701
101061541,10,17,26,19,28,15,5,4,0,125,12,12,15,24,18,11,7,4,0,112,200,254,557,633,677,486,121,25,4,2961
101061542,12,16,24,39,49,28,11,0,0,185,11,13,22,45,74,28,18,3,0,222,322,371,734,1387,1612,1067,422,92,24,6019
101061543,12,26,35,35,43,36,4,3,0,195,13,18,25,38,48,41,11,9,0,211,285,361,733,891,940,715,212,38,3,4189
101061544,7,8,18,12,19,14,11,0,0,93,7,16,16,24,20,26,11,0,0,127,145,221,410,537,765,669,284,67,14,3109
102011028,3,14,17,15,24,20,4,0,0,105,0,19,18,21,43,19,6,0,0,136,266,263,489,810,994,638,152,13,0,3630
102011029,11,24,30,27,42,42,16,0,0,185,7,14,24,52,41,50,13,3,0,199,298,351,624,971,1181,1010,280,25,4,4743
102011030,3,9,7,14,25,17,0,0,0,77,8,15,19,24,30,21,16,3,0,126,113,156,311,383,612,464,173,35,8,2249
102011031,7,13,46,41,65,41,8,0,0,221,6,26,26,45,60,33,9,11,4,217,368,461,861,1116,1400,1103,274,28,5,5625
102011032,6,47,98,70,56,65,20,3,0,363,10,32,63,75,76,28,13,3,3,306,342,785,2151,1763,1754,1323,332,44,7,8506
102011033,6,10,28,36,45,25,3,0,0,151,9,10,19,31,25,19,3,0,0,111,222,309,540,743,798,461,78,10,0,3156
102011034,4,12,21,33,31,18,3,0,0,122,12,7,22,27,34,21,7,3,3,138,179,284,511,648,682,529,110,10,3,2944
102011035,7,11,23,39,31,18,7,0,0,138,10,18,19,24,33,30,6,0,0,141,209,296,608,717,757,594,102,11,0,3294
102011036,4,22,36,34,41,22,10,0,0,175,8,13,27,25,32,36,6,0,0,144,289,346,656,844,950,709,105,6,0,3910
102011037,9,13,24,16,27,15,11,0,0,105,0,6,20,30,26,15,6,3,0,107,145,199,478,629,705,512,124,21,0,2814
102011038,8,11,24,36,33,33,3,0,0,143,3,9,24,29,17,23,10,0,0,123,199,270,568,714,746,558,123,9,0,3185
102011039,18,16,55,49,51,42,13,0,0,249,12,18,35,39,47,36,18,4,0,219,386,611,1236,1347,1471,1171,314,35,0,6574
102011040,19,48,85,92,75,73,18,0,0,415,24,50,69,88,86,71,27,5,0,426,498,758,1625,1985,2168,1678,414,36,5,9178
102011041,10,17,16,36,39,34,12,0,0,164,10,12,27,26,53,23,3,3,0,159,322,376,780,1080,1144,792,162,11,0,4678
102011042,10,19,51,47,50,25,14,0,0,217,9,24,47,61,52,39,24,4,0,253,262,438,982,1174,1252,941,211,28,4,5289
102011043,13,15,56,40,48,31,8,0,0,207,11,14,35,44,43,29,3,0,0,183,276,439,1006,1023,1006,766,176,6,3,4692
102021044,14,40,96,100,88,45,15,4,0,400,25,39,69,70,75,54,13,3,0,341,583,834,1899,2053,2015,1611,311,24,4,9330
102021045,14,29,49,57,41,22,0,0,0,207,25,21,48,47,39,39,4,0,0,216,334,527,968,999,980,632,99,6,0,4551
102021046,3,23,39,34,34,12,0,0,0,139,8,14,30,28,31,31,10,0,0,160,207,336,721,712,833,663,112,4,0,3585
102021047,11,35,72,66,79,57,12,0,0,325,19,32,64,55,85,52,19,4,0,321,506,675,1388,1485,1705,1230,239,13,3,7245
102021048,21,41,91,69,69,60,7,0,0,356,28,55,70,74,108,62,18,4,0,413,549,956,1648,1615,1861,1383,252,25,0,8294
102021049,3,5,3,20,23,19,0,0,0,75,6,5,11,14,23,19,9,0,0,87,117,117,190,335,471,336,80,7,3,1644
102021050,13,27,39,28,47,26,10,0,0,191,12,24,33,28,47,44,11,3,0,198,257,400,743,720,981,709,140,8,3,3956
102021051,3,18,19,11,32,13,5,0,0,104,7,12,18,18,23,12,4,0,0,94,127,249,456,465,613,432,112,6,0,2467
102021052,9,19,23,17,22,13,3,0,0,106,7,16,19,16,26,21,3,0,0,103,150,240,417,508,570,384,73,6,0,2346
102021053,5,27,56,39,60,39,10,3,0,239,9,31,50,62,64,57,19,4,0,299,284,514,1194,1200,1301,1042,265,30,4,5827
102021054,4,23,31,23,25,26,0,0,0,131,8,18,28,36,27,29,5,0,0,155,197,360,683,672,781,640,108,8,4,3456
102021055,3,12,20,18,16,18,3,0,0,98,9,0,18,25,30,11,4,0,0,99,158,229,510,532,548,355,58,11,0,2409
102021056,17,50,54,83,67,29,11,0,0,301,18,15,46,52,49,20,10,3,0,221,545,582,1318,1864,1514,710,158,16,3,6700
102021057,7,18,37,27,38,15,6,0,0,150,10,10,26,22,27,26,11,0,0,140,211,349,651,673,779,520,130,8,0,3327
103011058,19,55,97,88,48,50,15,0,0,375,30,38,76,67,50,51,26,6,4,348,626,1287,2363,1969,2075,1703,367,59,10,10443
103011059,10,24,43,44,37,18,10,0,0,186,14,5,40,32,38,31,10,4,0,172,324,424,1023,1140,1065,738,160,19,5,4906
103011060,8,10,14,33,34,16,5,0,0,126,7,10,9,34,39,26,15,3,0,145,180,191,334,592,850,653,267,59,7,3124
103011061,3,3,9,11,7,6,3,0,0,49,8,11,17,23,31,23,12,4,0,136,112,136,299,342,444,383,192,24,7,1930
103021062,0,8,13,13,14,20,4,0,3,77,7,14,32,26,23,21,7,6,0,143,91,218,521,484,527,539,212,68,5,2671
103021063,11,15,24,33,35,18,8,3,0,157,10,15,28,25,17,28,3,0,0,122,237,326,556,632,752,649,191,36,5,3383
103021064,4,9,16,10,11,10,3,0,0,62,11,10,5,8,13,19,15,4,0,80,117,149,296,395,575,487,191,56,8,2262
103021065,6,14,35,28,29,23,15,3,0,154,15,32,29,33,45,25,13,12,5,210,245,351,758,769,944,771,243,73,18,4176
103021066,0,7,7,15,7,3,3,0,0,49,3,5,6,7,16,11,12,6,0,59,62,72,183,286,312,320,158,35,3,1439
103021067,11,40,41,34,32,28,3,0,0,198,14,24,35,27,32,28,9,3,0,165,316,412,891,866,965,731,162,25,3,4376
103021068,5,8,4,6,10,5,7,0,0,48,3,10,3,8,14,8,3,0,3,42,55,92,158,226,346,316,125,34,10,1351
103021069,15,14,25,17,13,19,0,0,0,105,10,15,13,16,16,19,11,3,8,105,124,195,417,489,521,522,178,61,16,2525
103031070,9,26,40,41,34,22,9,0,0,190,8,24,44,30,31,35,9,7,4,193,290,410,906,856,1010,851,170,19,4,4523
103031071,6,17,25,17,24,18,5,0,0,113,7,11,15,26,33,23,9,4,0,126,163,237,478,641,850,689,180,29,9,3279
103031072,6,50,51,60,50,44,5,0,0,263,10,8,22,21,26,17,13,4,0,116,303,434,1181,1064,1105,731,182,37,3,5040
103031073,0,3,10,3,14,3,3,0,0,35,0,3,3,10,9,13,3,0,0,53,37,64,135,190,307,225,96,21,8,1083
103031074,7,15,29,37,39,29,10,0,0,173,12,14,11,19,34,20,14,3,3,125,188,238,550,784,1042,822,326,74,16,4035
103031075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103041076,15,13,25,32,31,19,0,0,0,140,13,9,15,26,22,21,14,4,0,138,184,230,517,650,775,615,209,45,15,3235
103041077,23,30,78,49,75,46,17,3,0,321,24,21,38,61,70,43,23,7,0,292,450,697,1657,1474,1637,1312,357,51,10,7642
103041078,21,42,123,94,57,32,12,0,0,381,16,20,51,51,47,36,12,3,0,228,571,812,2230,2237,1864,1261,293,28,7,9304
103041079,20,19,48,36,27,43,16,0,0,202,19,23,23,33,38,37,30,16,3,221,338,331,768,1152,1339,1073,441,97,13,5548
104011080,5,36,64,55,74,37,14,3,0,286,13,31,39,43,46,31,16,7,3,231,392,566,1177,1377,1436,1211,280,46,12,6499
104011081,17,27,32,47,57,36,11,0,0,220,20,16,20,39,46,53,16,15,3,224,342,343,616,996,1513,1394,332,71,9,5610
104011082,11,19,28,44,51,43,5,0,0,212,10,5,23,34,52,45,24,11,0,212,333,323,691,1026,1322,1247,309,47,4,5308
104021083,0,9,6,22,12,14,0,0,0,69,6,5,14,13,16,26,5,3,0,93,102,92,299,487,576,555,117,26,0,2256
104021084,15,37,72,54,57,47,12,0,0,302,12,34,43,57,58,35,12,4,0,267,459,606,1363,1401,1496,1204,281,33,0,6840
104021085,10,13,50,29,30,23,5,0,0,163,6,18,26,28,28,20,9,6,0,131,266,415,834,783,820,647,190,25,5,3982
104021086,11,6,11,11,15,6,0,0,0,63,8,5,10,11,15,16,4,0,0,63,123,116,237,338,477,361,68,4,0,1735
104021087,6,3,3,5,10,10,0,0,0,36,4,4,5,5,11,10,12,3,0,56,59,58,124,184,284,317,127,27,3,1184
104021088,14,11,29,31,38,22,10,0,0,159,7,3,20,39,29,18,13,0,0,124,226,228,626,904,1012,810,197,12,0,4013
104021089,10,28,54,59,75,52,13,3,0,300,15,21,52,70,74,62,18,5,0,305,559,656,1298,1643,1991,1540,294,24,3,8004
104021090,4,4,6,8,15,19,4,0,0,67,7,0,3,8,7,15,3,4,3,49,92,93,237,300,494,449,96,16,3,1780
104021091,6,14,38,23,49,29,5,0,0,164,10,24,61,38,39,33,5,0,4,211,259,360,990,973,1074,1033,155,14,10,4863
105011092,5,11,3,8,6,3,4,0,0,47,4,5,9,9,19,12,6,0,0,64,37,107,316,248,343,249,96,17,3,1414
105011093,5,13,15,11,13,6,0,0,0,64,8,11,9,18,12,9,5,0,4,72,82,170,493,406,406,354,84,22,4,2017
105011094,3,7,11,6,10,9,3,0,0,46,6,3,12,14,7,13,8,4,0,69,52,111,285,251,357,327,114,28,7,1527
105011095,3,3,13,8,15,13,4,6,0,67,5,6,13,14,15,15,10,0,0,72,76,162,383,371,496,371,146,64,8,2087
105011096,3,6,11,14,12,10,0,0,0,54,3,7,18,21,21,22,10,3,0,100,64,152,420,399,465,439,191,35,3,2163
105021097,15,32,72,47,54,61,16,7,0,294,7,32,44,29,48,57,8,6,8,251,379,601,1410,1259,1543,1386,280,33,11,6902
105021098,0,0,3,3,7,5,0,0,0,20,0,3,11,11,0,3,4,0,0,36,26,65,161,171,194,217,89,19,0,932
105031099,7,9,9,26,16,11,6,0,0,76,8,8,17,22,27,24,16,3,0,118,93,167,408,529,702,647,253,72,14,2869
105031100,17,26,59,38,39,33,12,0,0,222,22,21,38,23,29,25,14,7,0,177,331,438,974,894,1057,870,198,14,0,4783
105031101,18,45,95,60,72,53,18,6,3,370,24,19,53,41,48,30,12,9,3,237,508,747,2015,1633,1579,1219,278,60,5,8044
105031102,0,31,35,30,25,25,15,0,0,161,11,17,32,27,29,11,6,4,0,131,237,400,927,807,752,506,161,30,4,3818
105031103,10,17,28,23,32,18,3,3,0,127,11,8,15,21,29,33,12,3,0,136,153,195,384,536,672,598,204,47,6,2793
105031104,0,3,6,9,15,14,3,0,0,65,3,11,12,12,12,10,6,4,0,63,80,137,296,310,419,393,154,46,10,1853
105031105,11,19,23,24,18,16,3,0,0,118,7,8,21,11,19,21,15,3,0,116,106,192,456,498,579,541,206,43,13,2629
105031106,9,13,16,14,16,19,8,0,0,102,5,12,21,17,21,30,10,5,4,115,159,219,453,490,673,595,224,49,16,2879
106011107,16,37,81,60,44,23,5,0,0,267,11,19,36,34,41,35,5,0,0,179,278,393,1004,1122,1013,722,217,18,7,4775
106011108,26,59,91,75,80,39,11,0,0,379,21,41,63,57,72,48,9,8,0,310,526,847,1733,1646,1631,1161,227,22,6,7790
106011109,8,15,36,31,39,20,7,0,0,153,10,11,15,34,44,33,8,3,0,172,210,261,497,682,840,644,147,28,3,3312
106011110,12,20,34,35,37,29,12,0,0,182,4,15,24,31,55,22,6,5,0,165,198,251,599,754,983,807,231,63,3,3885
106011111,26,62,93,71,76,35,4,0,0,366,16,45,58,78,70,42,8,9,0,331,461,713,1569,1483,1495,1010,136,14,8,6877
106011112,20,44,77,77,81,30,3,0,0,337,15,31,47,47,58,26,6,0,0,241,602,834,1649,1626,1683,972,171,20,0,7570
106011113,4,17,24,17,13,15,0,0,0,90,5,3,12,17,24,29,6,5,0,113,129,146,334,459,536,432,133,26,7,2197
106021114,5,22,41,26,20,17,3,0,0,124,5,9,33,30,19,17,0,0,3,123,129,306,837,635,588,366,66,9,3,2941
106021115,25,51,132,124,111,62,20,3,0,527,36,52,82,85,90,53,17,3,7,426,721,1126,2627,2649,2625,1824,345,37,9,11957
106021116,8,27,40,34,30,31,5,0,0,170,4,8,18,27,27,17,7,3,3,115,258,284,656,828,905,626,138,16,3,3713
106021117,29,64,163,96,82,55,14,3,0,504,26,35,98,73,90,60,18,4,0,410,659,1090,2467,2234,1947,1192,223,30,6,9845
106021118,15,25,47,52,60,27,8,0,0,232,11,16,41,52,38,26,4,0,0,190,344,458,1114,1170,1164,730,119,9,0,5117
106031119,11,15,13,21,32,17,4,0,0,105,12,7,15,11,32,15,9,0,0,96,204,204,323,485,626,442,79,7,0,2375
106031120,6,14,19,17,18,20,5,3,0,104,0,5,19,25,20,32,7,0,0,111,110,161,400,437,570,497,95,14,3,2282
106031121,13,21,60,59,62,54,13,0,0,280,24,24,39,65,64,64,35,8,3,320,514,577,1166,1608,1889,1512,460,50,8,7779
106031122,11,34,54,54,54,44,13,0,0,263,18,36,33,46,50,46,4,6,0,232,315,592,1098,1055,1155,888,150,18,0,5264
106031123,6,16,25,33,40,23,4,0,0,145,6,12,12,28,35,15,7,0,0,119,219,230,320,560,801,503,115,29,3,2769
106031124,4,0,4,10,13,15,10,0,0,54,0,10,3,17,7,6,3,0,0,50,59,91,155,233,352,372,147,17,0,1412
106031125,20,35,49,54,58,30,5,3,0,263,12,18,33,42,58,41,6,5,0,216,383,546,1119,1430,1480,891,186,29,4,6072
106041126,8,39,55,40,32,21,5,0,0,207,7,12,35,39,40,21,9,3,0,164,282,453,1185,1028,1096,672,115,10,5,4860
106041127,3,5,10,17,7,8,0,0,0,51,5,7,12,17,16,5,12,0,0,79,98,149,300,421,458,311,105,19,3,1868
106041128,10,15,20,19,16,10,9,3,0,98,11,3,20,18,21,20,4,4,0,92,174,202,579,560,581,415,104,20,4,2641
106041129,11,9,28,28,18,11,3,0,0,121,5,7,20,29,32,31,6,7,0,138,168,240,647,754,805,714,237,66,14,3656
107011131,27,55,118,97,84,54,12,0,0,454,26,51,82,79,97,59,17,0,4,427,582,967,2000,2217,2160,1435,264,21,11,9656
107011132,6,31,40,39,41,16,0,0,0,176,11,14,21,35,37,16,0,3,0,144,312,372,923,1125,937,530,62,13,0,4273
107011133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107011134,26,41,47,54,63,50,17,0,0,291,21,38,49,53,61,31,9,3,0,262,465,711,1327,1505,1717,1122,173,11,0,7039
107011545,16,32,75,48,46,35,4,0,0,260,8,32,83,53,55,40,6,3,0,272,267,542,1223,1013,1090,766,93,13,0,5007
107011546,7,13,41,34,33,29,3,0,0,152,8,19,37,27,41,31,5,3,0,165,126,338,689,689,701,455,56,5,0,3066
107011547,3,3,16,11,8,6,5,0,0,54,7,7,5,19,14,10,8,3,0,72,91,146,301,317,373,285,66,6,0,1587
107021135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7
107031136,24,43,84,65,65,48,11,0,0,335,20,31,52,47,50,49,10,3,0,254,508,705,1396,1624,1572,934,136,11,0,6881
107031137,9,18,34,22,25,20,4,0,0,137,8,10,18,32,23,19,8,0,0,131,179,318,668,555,619,467,80,3,5,2906
107031138,5,10,18,26,31,17,11,0,0,119,4,6,15,15,32,24,14,0,0,112,195,286,482,643,813,651,148,21,0,3231
107031139,4,6,11,12,23,10,0,0,0,80,0,7,12,12,24,15,0,0,0,81,159,236,492,568,650,554,80,7,0,2746
107031140,4,9,12,17,29,15,8,0,0,93,5,11,8,19,35,24,10,0,0,109,210,281,503,690,802,775,187,27,4,3478
107031141,12,34,75,103,61,33,9,0,0,325,19,31,54,69,70,38,6,3,0,285,520,771,1497,2064,1950,1049,161,11,0,8041
107031142,12,24,50,39,42,28,3,0,0,200,16,22,28,38,42,20,5,3,0,166,309,445,883,892,1003,779,115,14,4,4435
107031143,27,43,74,70,52,48,7,0,0,323,21,52,65,60,79,53,14,3,3,344,438,837,1576,1459,1670,1173,172,18,4,7347
107041144,20,42,77,81,79,34,13,0,0,345,9,43,49,62,72,46,11,3,3,315,566,1025,1812,2014,1988,1322,279,30,3,9030
107041145,17,54,67,55,73,36,5,3,0,300,15,25,51,46,60,29,12,6,0,240,363,678,1422,1500,1479,989,146,24,4,6596
107041146,22,41,73,68,80,46,8,0,0,334,15,34,50,67,63,44,10,3,0,283,576,1087,1831,2181,2004,1277,260,34,3,9260
107041147,16,29,32,37,41,27,8,0,0,195,13,18,30,33,47,21,5,4,0,173,297,431,770,1136,1149,721,116,14,0,4636
107041148,3,21,22,31,39,29,3,0,0,150,10,23,25,55,42,15,4,3,0,178,270,392,829,1332,1406,1049,206,15,0,5504
107041150,16,31,82,82,63,44,8,0,0,333,10,22,55,53,62,46,9,6,0,273,518,745,1655,2263,2257,1397,211,22,3,9070
107041548,10,32,70,38,31,31,3,0,0,213,12,27,63,24,22,17,9,12,0,184,201,1115,2107,912,943,792,209,33,0,6314
107041549,7,43,72,55,39,25,14,0,0,252,8,36,81,52,43,25,13,0,0,267,398,1128,1902,1513,1322,776,180,19,0,7234
108011151,6,3,14,10,17,10,3,0,0,63,5,4,11,13,19,12,4,3,0,83,99,121,231,324,537,394,120,28,6,1857
108011152,8,17,32,42,34,42,14,4,0,196,13,14,20,30,38,34,11,8,4,159,323,292,712,867,1073,1014,264,20,3,4571
108011153,3,9,7,17,18,14,4,0,0,67,13,7,12,13,30,18,3,3,0,103,97,96,217,431,540,495,130,24,3,2023
108011154,0,10,11,21,9,17,7,0,0,74,3,0,8,3,10,19,8,3,0,63,105,126,249,258,382,400,105,19,0,1641
108021155,15,24,29,39,48,36,10,0,0,183,14,12,42,26,35,33,14,5,0,189,320,373,800,850,1022,843,225,23,6,4467
108021156,3,5,12,28,21,13,4,0,0,87,15,7,23,25,34,38,6,4,0,152,186,206,414,599,867,853,244,46,10,3414
108021157,4,6,10,7,13,9,7,0,0,58,8,3,7,12,9,8,5,3,0,59,92,131,231,325,381,336,86,15,0,1603
108021158,0,14,17,15,13,16,3,0,0,70,3,8,11,15,16,10,7,7,0,73,112,127,279,318,401,477,92,22,4,1833
108021159,6,8,17,20,23,24,10,0,0,106,6,6,17,7,15,14,11,3,0,84,146,182,368,488,713,677,174,32,3,2793
108021160,3,4,8,18,10,19,5,0,0,63,6,5,8,10,10,16,3,3,0,57,88,102,210,326,392,364,93,10,0,1588
108031161,0,0,0,0,3,0,0,0,0,6,0,0,3,3,3,3,0,0,0,11,7,11,35,50,48,42,13,6,0,225
108041162,15,21,41,50,60,44,11,0,0,235,20,12,20,32,50,45,15,5,3,202,349,302,674,1069,1578,1232,253,33,9,5492
108041163,15,43,89,99,102,61,21,0,0,433,25,14,49,69,59,50,16,10,0,294,787,774,1940,2469,2895,2146,448,44,0,11502
108041164,10,19,62,50,43,44,11,3,0,245,10,24,36,42,52,35,12,10,0,207,373,484,1215,1280,1365,1058,304,40,7,6123
108041165,3,18,22,16,24,17,3,0,0,99,9,6,14,21,16,21,8,6,0,98,120,141,262,394,585,577,159,38,4,2295
108041166,9,33,40,43,50,33,9,0,0,222,11,18,23,26,38,38,13,3,0,172,254,323,650,893,1045,859,198,22,3,4242
108051167,3,9,9,11,4,8,3,0,0,56,3,3,5,14,21,17,9,5,3,76,87,115,212,297,473,400,185,31,7,1815
108051168,5,14,16,29,41,22,3,0,0,126,7,6,10,19,36,18,16,3,3,114,246,223,522,791,953,896,212,30,7,3874
108051169,16,27,55,60,78,55,15,3,0,305,20,25,35,42,65,56,19,6,3,272,438,612,1167,1241,1524,1316,296,43,7,6628
108051170,9,6,21,27,33,42,5,0,0,140,4,13,17,22,34,45,18,9,0,175,217,237,472,693,1155,1136,328,51,9,4294
108051171,3,19,19,13,17,11,3,0,0,85,6,7,16,10,21,15,3,0,0,73,129,160,320,309,482,396,71,6,0,1868
109011172,13,32,76,63,44,34,14,4,0,274,10,28,39,35,51,26,22,3,0,220,501,814,1749,1674,1457,1004,216,19,0,7429
109011173,9,25,47,44,41,33,3,3,0,200,10,16,25,34,41,33,16,0,0,166,297,432,868,830,930,711,154,10,3,4233
109011174,4,18,36,29,42,22,6,0,0,160,14,25,28,22,28,27,9,7,0,158,305,433,879,833,1036,895,269,21,3,4676
109011175,14,17,33,42,48,43,5,0,0,200,17,11,21,33,53,44,17,7,0,208,342,321,692,980,1365,1125,365,79,14,5282
109011176,15,39,71,43,41,48,8,3,0,278,12,24,54,42,52,39,19,8,0,255,364,590,1271,1108,1162,1077,216,20,3,5809
109021177,6,4,5,6,14,6,0,0,0,37,11,11,9,18,12,18,0,0,0,75,76,114,193,200,338,278,89,21,0,1310
109021178,8,10,14,12,14,22,7,4,0,84,6,17,9,21,28,23,17,6,0,120,141,163,355,473,555,506,152,22,3,2377
109021179,0,3,8,4,5,5,8,0,0,34,4,7,8,18,15,17,8,0,0,85,76,132,255,303,377,354,88,24,8,1610
109031180,5,10,20,18,14,8,6,3,0,91,10,7,19,20,17,25,14,3,0,102,152,195,339,368,529,474,133,16,0,2211
109031181,11,13,17,22,13,19,5,0,0,99,10,9,8,24,26,25,8,0,0,109,156,190,399,561,625,580,190,30,12,2747
109031182,5,10,24,25,24,30,13,0,0,128,14,18,16,21,28,22,10,0,0,119,180,274,537,608,657,630,176,28,5,3092
109031183,4,0,12,7,15,9,5,0,0,59,6,5,8,19,21,30,17,10,0,106,137,179,392,498,727,781,256,65,9,3052
109031184,5,3,26,11,11,17,4,3,0,84,5,8,19,16,20,19,7,0,0,97,151,162,509,485,553,415,132,21,6,2441
109031185,12,21,25,42,33,25,7,4,0,163,19,11,18,27,31,36,18,5,0,170,201,255,614,700,791,895,307,57,7,3827
110011186,22,54,66,53,66,44,12,3,0,318,15,35,52,48,38,29,20,7,0,240,702,1156,1887,1720,2045,1658,409,47,11,9636
110011187,9,8,12,12,10,10,0,4,0,63,3,3,12,11,17,13,14,3,0,77,88,116,317,362,486,409,203,46,12,2043
110011188,3,6,11,15,17,23,5,0,0,85,6,8,7,15,28,20,7,0,0,97,147,162,365,531,688,596,193,52,6,2739
110011189,4,3,6,10,9,3,3,0,0,40,0,0,3,9,3,7,12,10,4,49,67,96,192,239,335,310,185,41,9,1467
110021190,7,16,33,21,30,25,6,4,0,144,9,11,29,21,31,22,17,11,0,157,191,233,464,579,710,690,273,72,8,3224
110021191,7,20,34,35,34,34,20,0,0,190,15,20,26,25,35,30,22,13,7,182,302,431,856,883,988,779,233,50,13,4536
110021192,5,0,13,3,13,8,0,0,0,44,5,3,13,10,18,17,6,3,0,82,105,121,252,345,425,410,133,51,12,1861
110021193,9,8,16,14,11,8,3,0,0,75,6,10,8,19,25,16,15,7,0,96,105,153,322,416,609,474,223,54,7,2363
110021194,4,4,12,16,7,12,10,0,0,65,6,9,8,16,24,30,14,7,0,105,117,115,259,417,497,646,242,59,5,2361
110031195,14,29,35,43,32,26,7,0,0,181,10,14,19,36,33,34,16,0,0,166,166,297,665,694,681,573,192,25,3,3295
110031196,8,5,16,8,12,10,4,0,0,64,14,13,9,14,20,18,20,3,0,107,99,176,440,471,609,476,167,52,3,2485
110031197,17,23,39,30,38,22,9,0,0,170,16,16,44,19,34,26,3,4,3,163,227,248,648,616,672,575,143,18,3,3155
110031198,5,3,20,10,12,17,3,0,0,68,3,3,12,14,24,19,8,9,0,94,78,123,347,388,474,431,183,41,3,2071
110041199,12,27,45,38,31,37,5,0,0,198,6,16,21,32,23,32,16,3,0,151,255,340,911,775,805,631,158,18,4,3888
110041200,9,18,12,9,15,14,0,0,0,70,3,7,10,12,25,9,8,0,0,68,98,139,264,364,435,430,131,48,10,1920
110041201,9,8,17,15,27,24,9,0,0,101,10,9,22,35,21,31,12,3,0,149,117,195,504,559,699,660,233,40,10,3015
110041202,14,45,87,81,98,71,14,3,0,417,28,31,72,75,70,50,15,3,0,343,641,808,1895,1782,1952,1591,382,45,0,9109
