SSC_CODE_2016,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
SSC10001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,3,3,0,0,0,4,8,13
SSC10002,37,40,70,16,21,40,0,0,0,0,0,0,0,0,0,880,737,1618,50,70,120,42,0,44,3,0,7,3,0,3,4,0,6,6,4,7,1040,884,1920,9,4,17,0,0,0,0,0,0,39,30,61,0,4,3,0,0,0,49,38,83,0,0,0,0,0,0,0,7,4,3,8,11,0,0,0,5,10,13,17,7,21,65,49,117,12,7,19,0,0,0,0,0,0,13,7,20,16,51,68,48,99,154,10,13,25,1194,1102,2297
SSC10003,3,4,9,127,209,335,73,66,139,0,3,3,0,0,0,824,658,1475,24,61,85,11,0,11,15,0,18,14,12,27,12,8,24,15,16,35,1139,1032,2163,10,27,36,3,4,8,0,0,0,0,6,8,0,3,4,0,0,0,21,31,57,8,9,17,0,0,0,3,7,12,3,7,7,0,0,0,11,20,34,11,4,15,45,58,101,6,4,13,0,0,3,0,0,0,11,4,14,73,84,153,75,140,216,11,4,10,1340,1316,2660
SSC10004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235,198,435,9,17,29,0,0,0,6,0,6,0,0,3,3,0,3,3,0,3,260,221,481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,8,8,0,0,0,0,0,0,0,0,0,0,0,3,8,21,23,18,32,54,4,0,3,291,280,573
SSC10005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,10,3,14
SSC10006,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3,353,326,676,24,21,43,10,0,10,0,0,0,3,0,3,3,0,3,3,7,14,397,362,758,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,8,7,3,12,0,0,0,0,0,0,0,0,0,0,0,0,11,10,25,46,90,136,8,4,11,473,466,943
SSC10007,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,369,275,642,29,18,46,10,0,10,3,0,3,0,0,0,0,0,0,13,10,28,427,307,732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,12,21,33,58,58,124,5,4,7,505,395,906
SSC10008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,10,22,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,3,3,7,16,11,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,18,0,0,0,0,0,0,32,24,61
SSC10009,4,11,12,8,6,11,0,0,0,0,0,0,0,0,0,1065,952,2019,78,65,147,21,0,21,5,0,5,3,0,3,6,3,13,4,5,10,1193,1043,2235,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,3,21,22,7,29,3,0,7,0,0,0,0,0,0,3,0,9,24,60,83,139,188,328,10,5,20,1394,1302,2695
SSC10010,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,368,332,699,29,21,52,12,0,12,4,0,4,0,0,0,0,0,0,3,6,10,424,364,786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,12,18,0,13,0,0,0,0,0,0,0,0,0,0,0,0,8,13,20,47,70,117,9,5,15,507,456,962
SSC10011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,46,92,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,52,53,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,16,0,0,0,65,59,121
SSC10012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,3,3,5
SSC10013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,0,3,0,0,0,10,8,16
SSC10014,65,59,120,65,53,115,0,0,0,0,0,0,5,0,5,705,628,1333,30,43,73,13,0,13,8,0,8,0,0,0,7,0,9,9,12,15,903,782,1692,40,46,87,0,0,0,0,0,0,25,17,47,4,6,9,0,0,0,76,67,143,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,4,7,3,3,13,86,75,163,11,11,18,0,0,0,0,0,0,7,11,22,14,29,43,49,87,135,8,16,21,1077,997,2074
SSC10015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,32,74,6,4,7,0,0,0,0,0,0,0,0,0,3,0,3,10,14,19,60,47,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,3,9,0,5,9,0,0,0,75,64,136
SSC10016,14,13,18,30,45,79,0,0,0,0,0,0,4,4,5,1136,1033,2166,62,77,142,12,0,12,24,8,26,43,3,52,12,3,12,31,50,80,1373,1234,2606,7,0,7,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,6,6,14,0,0,0,0,0,0,3,3,3,0,3,4,0,0,0,4,7,15,15,9,21,28,15,41,0,0,0,4,0,4,0,0,0,4,0,3,29,50,76,115,240,351,16,15,35,1555,1551,3107
SSC10017,15,8,24,15,22,37,0,0,0,0,0,0,0,0,0,963,808,1772,42,70,112,15,0,15,19,0,19,26,10,33,9,3,9,20,40,59,1125,960,2083,0,0,0,0,0,0,0,0,0,3,0,3,3,0,6,3,0,3,7,0,11,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,6,11,12,0,12,22,8,26,0,0,0,0,0,0,0,0,0,0,0,0,51,71,126,94,168,263,15,11,22,1299,1218,2521
SSC10018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,120,288,5,4,11,9,0,9,0,0,0,0,0,0,0,0,0,3,4,13,188,138,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,11,16,23,43,0,3,4,206,170,376
SSC10019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,22,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,3,4,19,15,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,5,0,0,3,0,0,0,21,14,42
SSC10020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,12,9,21
SSC10021,3,3,8,0,0,0,0,0,0,0,0,0,0,0,0,180,133,318,5,3,15,16,0,16,0,0,0,0,0,0,0,0,0,9,6,19,222,156,374,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,6,14,0,0,0,0,0,0,0,0,0,0,0,0,9,19,27,11,26,34,3,0,0,251,206,463
SSC10022,4,12,16,5,22,29,0,0,0,0,0,0,0,0,0,165,118,279,21,22,46,4,0,4,8,5,10,0,0,0,5,3,8,3,3,8,222,181,402,13,14,25,0,0,0,0,0,0,0,7,3,0,3,3,0,0,0,10,23,34,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,13,21,38,0,3,3,0,0,0,0,0,0,0,3,3,0,8,8,21,29,47,14,12,25,267,253,525
SSC10023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,10,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,13,15,30
SSC10024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,12,0,4,5,0,0,0,21,17,34
SSC10025,23,28,54,18,18,30,0,0,0,0,0,0,4,0,5,2570,2224,4789,161,135,296,67,0,65,20,0,20,13,0,9,19,7,24,30,33,66,2920,2446,5366,3,9,13,0,0,0,0,0,0,20,18,36,5,4,7,3,0,3,30,31,59,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,5,5,24,9,34,54,42,102,5,0,5,0,0,3,0,0,0,10,3,7,50,107,154,269,413,684,18,25,41,3315,3029,6347
SSC10026,42,25,62,13,11,18,0,0,0,0,0,0,0,0,0,1126,987,2116,87,71,149,37,0,37,11,5,14,6,4,13,16,5,20,12,11,22,1342,1104,2448,3,3,6,0,0,0,0,0,0,8,6,9,0,0,0,0,0,0,12,4,22,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,15,4,22,28,14,40,4,0,3,0,0,0,0,0,0,3,0,8,19,50,72,132,181,306,16,9,25,1544,1362,2906
SSC10027,4,3,3,3,4,6,0,0,0,0,0,0,3,8,9,759,745,1502,30,53,88,5,0,5,3,0,5,29,9,38,6,5,12,109,121,227,962,945,1903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,13,4,22,14,11,22,0,0,3,0,0,0,0,0,0,3,3,6,54,64,119,82,147,228,6,3,3,1118,1164,2288
SSC10028,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,131,103,229,5,3,11,9,0,9,0,0,0,0,0,0,0,0,0,3,3,4,149,113,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8,8,31,35,0,0,0,161,144,311
SSC10029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,21,39,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,3,3,25,22,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,22,3,6,11,0,0,0,44,38,82
SSC10030,794,736,1528,124,166,288,0,0,0,0,0,3,12,16,33,890,728,1614,57,86,146,18,0,20,73,24,96,202,66,260,23,16,37,276,265,536,2471,2098,4570,135,148,289,3,3,5,8,9,13,6,10,12,12,13,25,25,22,42,189,202,390,0,0,0,0,0,0,0,0,4,0,3,7,11,0,10,12,10,21,20,9,33,218,227,449,15,21,37,0,0,0,0,0,3,18,21,40,108,111,220,132,229,364,21,16,34,2968,2698,5670
SSC10031,47,57,106,5,3,11,0,0,0,0,0,0,0,0,0,639,572,1211,29,47,77,19,0,19,0,0,0,0,0,0,5,3,11,4,3,4,751,685,1436,14,11,29,0,0,0,0,0,0,48,35,85,3,9,10,0,0,0,66,57,119,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,4,4,12,3,13,78,63,141,3,9,10,0,0,0,0,0,0,3,9,10,26,42,67,48,78,131,4,3,11,916,883,1792
SSC10032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,14,28,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,23,17,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,18,0,0,4,0,0,0,35,31,60
SSC10033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,13,30,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,16,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,20,18,39
SSC10035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,9,22,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,3,3,0,0,0,20,13,31
SSC10036,3,0,3,232,180,410,0,4,9,0,0,0,3,5,8,954,875,1826,40,70,113,33,0,33,42,5,47,27,7,34,11,8,17,54,66,120,1396,1222,2620,27,27,55,3,0,3,0,0,0,4,3,3,0,0,0,0,0,0,33,26,61,10,3,14,0,0,0,14,15,31,3,5,6,0,0,4,26,27,49,18,8,23,81,60,136,15,6,20,8,7,15,0,0,3,22,15,32,95,147,242,112,201,309,24,18,38,1722,1657,3385
SSC10037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,13,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,19,16,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,7,3,0,3,0,0,0,23,21,43
SSC10038,496,501,1002,10,11,23,0,0,0,0,0,0,3,0,4,782,454,1232,34,70,102,7,0,7,10,0,10,3,0,3,3,4,12,35,38,78,1386,1081,2466,47,50,100,0,0,3,3,4,12,12,9,19,3,8,8,3,0,4,63,77,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,11,0,9,77,79,153,6,10,14,0,0,0,0,0,0,6,10,14,26,26,52,86,133,224,10,11,25,1595,1341,2936
SSC10039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,12,0,0,0,0,0,0,7,11,20
SSC10040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,24,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,19,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,7,0,0,0,19,30,48
SSC10041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,16,50,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,38,16,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0,4,4,0,0,0,42,28,67
SSC10042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,14,0,3,3,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,6,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,11,0,3,0,0,0,0,20,18,33
SSC10043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,7,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,9,0,0,0,0,0,0,16,12,31
SSC10044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,50,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,24,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,7,0,0,3,0,0,0,37,23,66
SSC10045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,62,144,0,10,14,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,83,72,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,13,32,13,16,28,0,0,3,116,108,223
SSC10046,0,0,0,4,8,12,0,0,0,0,0,0,0,0,0,789,770,1561,50,55,110,15,0,15,11,0,13,11,3,11,13,5,17,30,39,67,929,888,1811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,11,7,3,13,0,0,0,0,0,0,0,0,0,0,0,0,57,79,131,96,145,236,4,15,19,1093,1124,2217
SSC10047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,14,26,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,3,11,14,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,5,0,0,0,0,0,3,19,16,40
SSC10048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,10,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,16,10,22
SSC10049,80,82,166,30,31,54,0,0,0,0,0,0,3,4,3,1048,787,1831,96,98,192,38,0,36,15,0,15,4,0,4,12,5,13,13,21,33,1333,1028,2356,38,37,75,0,0,0,0,0,0,35,34,63,8,4,15,0,0,0,83,77,155,0,0,0,0,0,0,0,0,3,3,3,10,0,0,0,3,6,15,10,6,13,93,88,185,16,14,28,0,0,0,0,0,0,16,17,27,20,37,57,91,160,256,20,19,34,1572,1346,2925
SSC10050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,8,15
SSC10051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,11,0,0,0,0,0,0,13,7,21
SSC10053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7,8,11
SSC10054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,12,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,11,0,0,4,0,0,0,19,18,35
SSC10055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,0,0,3,0,0,0,17,15,30
